epoch,accuracy,f1-score,loss,lr,prc,precision,recall,val_accuracy,val_f1-score,val_loss,val_prc,val_precision,val_recall
0,0.754082441329956,"""[0.59849185, 0.8227641]""",0.5220279693603516,0.001,0.8502106070518494,0.754082441329956,0.754082441329956,0.9338449239730835,"""[0.9151899, 0.9457728]""",0.19416069984436035,0.9747716188430786,0.9338449239730835,0.9338449239730835
1,0.9529976844787598,"""[0.93844366, 0.9619856]""",0.13858816027641296,0.001,0.9858260750770569,0.9529976844787598,0.9529976844787598,0.9580694437026978,"""[0.94681907, 0.9653909]""",0.12710490822792053,0.9876466989517212,0.9580694437026978,0.9580694437026978
2,0.9685648083686829,"""[0.958724, 0.9746166]""",0.0944247916340828,0.001,0.9926489591598511,0.9685648083686829,0.9685648083686829,0.9678701758384705,"""[0.9583308, 0.9738555]""",0.10211016237735748,0.9911773204803467,0.9678701758384705,0.9678701758384705
3,0.9748263955116272,"""[0.96692216, 0.9796816]""",0.07694193720817566,0.001,0.9946557283401489,0.9748263955116272,0.9748263955116272,0.9736027121543884,"""[0.96590436, 0.978465]""",0.08593247085809708,0.9925729632377625,0.9736027121543884,0.9736027121543884
4,0.9784490466117859,"""[0.971663, 0.98261297]""",0.06560332328081131,0.001,0.9958674907684326,0.9784490466117859,0.9784490466117859,0.9744810461997986,"""[0.9669619, 0.97921216]""",0.08553971350193024,0.9930711984634399,0.9744810461997986,0.9744810461997986
5,0.9818692207336426,"""[0.9761515, 0.98537546]""",0.055778056383132935,0.001,0.9967377185821533,0.9818692207336426,0.9818692207336426,0.9752207398414612,"""[0.9683888, 0.9796244]""",0.0816565528512001,0.9932191371917725,0.9752207398414612,0.9752207398414612
6,0.9841551184654236,"""[0.9791492, 0.9872227]""",0.04946533590555191,0.001,0.9973421096801758,0.9841551184654236,0.9841551184654236,0.9759604334831238,"""[0.9689885, 0.98037285]""",0.08833562582731247,0.9924436807632446,0.9759604334831238,0.9759604334831238
7,0.9849247932434082,"""[0.9801525, 0.9878469]""",0.045555636286735535,0.001,0.9977445602416992,0.9849247932434082,0.9849247932434082,0.9782719016075134,"""[0.97191685, 0.9822815]""",0.08591111749410629,0.9927593469619751,0.9782719016075134,0.9782719016075134
8,0.9864930510520935,"""[0.9822223, 0.98910934]""",0.041860178112983704,0.001,0.99800705909729,0.9864930510520935,0.9864930510520935,0.9779483079910278,"""[0.97177017, 0.98190784]""",0.08064692467451096,0.9929921627044678,0.9779483079910278,0.9779483079910278
9,0.9878183007240295,"""[0.98396933, 0.9901768]""",0.03695274889469147,0.001,0.9984245300292969,0.9878183007240295,0.9878183007240295,0.9791040420532227,"""[0.97292435, 0.9829871]""",0.08368375897407532,0.9925234913825989,0.9791040420532227,0.9791040420532227
10,0.9880497455596924,"""[0.9842567, 0.9903699]""",0.03587409853935242,0.001,0.998444139957428,0.9880497455596924,0.9880497455596924,0.9800286889076233,"""[0.9742459, 0.98369074]""",0.07449912279844284,0.993340253829956,0.9800286889076233,0.9800286889076233
11,0.9883738160133362,"""[0.98469836, 0.9906256]""",0.0331588014960289,0.001,0.998756468296051,0.9883738160133362,0.9883738160133362,0.9802135825157166,"""[0.9746955, 0.9837559]""",0.0796051174402237,0.9933196306228638,0.9802135825157166,0.9802135825157166
12,0.989450216293335,"""[0.98611164, 0.9914948]""",0.030419746413826942,0.001,0.9989739060401917,0.989450216293335,0.989450216293335,0.9791965484619141,"""[0.973398, 0.9829196]""",0.0857698991894722,0.9929607510566711,0.9791965484619141,0.9791965484619141
13,0.9894097447395325,"""[0.9860552, 0.99146324]""",0.030264349654316902,0.001,0.9989321827888489,0.9894097447395325,0.9894097447395325,0.979658842086792,"""[0.9737939, 0.9833787]""",0.08072367310523987,0.9935575723648071,0.979658842086792,0.979658842086792
14,0.990237295627594,"""[0.9871636, 0.99212337]""",0.028201935812830925,0.001,0.9990699887275696,0.990237295627594,0.990237295627594,0.9810457229614258,"""[0.9755778, 0.9845131]""",0.09039505571126938,0.9923443794250488,0.9810457229614258,0.9810457229614258
15,0.9899942278862,"""[0.9868316, 0.9919319]""",0.028514770790934563,0.001,0.9990965723991394,0.9899942278862,0.9899942278862,0.9804909825325012,"""[0.9749406, 0.98402846]""",0.08769339323043823,0.9922018051147461,0.9804909825325012,0.9804909825325012
16,0.9905960559844971,"""[0.9876233, 0.99241734]""",0.026283646002411842,0.001,0.9991530179977417,0.9905960559844971,0.9905960559844971,0.9811844229698181,"""[0.9757464, 0.98463047]""",0.09128910303115845,0.9922506213188171,0.9811844229698181,0.9811844229698181
