epoch,accuracy,f1-score,loss,lr,prc,precision,recall,val_accuracy,val_f1-score,val_loss,val_prc,val_precision,val_recall
0,0.7745421528816223,"""[0.64557487, 0.83469343]""",0.49189743399620056,0.001,0.8710626363754272,0.7745421528816223,0.7745421528816223,0.9380056262016296,"""[0.9185545, 0.9499571]""",0.16988764703273773,0.9792541265487671,0.9380056262016296,0.9380056262016296
1,0.9544212818145752,"""[0.9409037, 0.9629061]""",0.13504420220851898,0.001,0.9860690832138062,0.9544212818145752,0.9544212818145752,0.9633858799934387,"""[0.9513872, 0.970634]""",0.10849956423044205,0.9900012016296387,0.9633858799934387,0.9633858799934387
2,0.9665509462356567,"""[0.9565184, 0.9728217]""",0.09897134453058243,0.001,0.9917721748352051,0.9665509462356567,0.9665509462356567,0.9573297500610352,"""[0.9412514, 0.9664985]""",0.1266579031944275,0.9879933595657349,0.9573297500610352,0.9573297500610352
3,0.9738715291023254,"""[0.9659766, 0.97879255]""",0.07943451404571533,0.001,0.9941911697387695,0.9738715291023254,0.9738715291023254,0.9638019800186157,"""[0.95062745, 0.97142655]""",0.10576732456684113,0.9907613396644592,0.9638019800186157,0.9638019800186157
4,0.9781481623649597,"""[0.97153455, 0.9822679]""",0.06844981759786606,0.001,0.9954158067703247,0.9781481623649597,0.9781481623649597,0.9735102653503418,"""[0.96461874, 0.97883034]""",0.08483093976974487,0.9927486777305603,0.9735102653503418,0.9735102653503418
5,0.9813368320465088,"""[0.97565985, 0.9848665]""",0.05819585174322128,0.001,0.9963740706443787,0.9813368320465088,0.9813368320465088,0.9747121930122375,"""[0.9663156, 0.97975796]""",0.0779048278927803,0.9942813515663147,0.9747121930122375,0.9747121930122375
6,0.9825868010520935,"""[0.9773038, 0.9858748]""",0.05446125566959381,0.001,0.9968873858451843,0.9825868010520935,0.9825868010520935,0.9754981398582458,"""[0.9671664, 0.98045725]""",0.07496301084756851,0.9942834377288818,0.9754981398582458,0.9754981398582458
7,0.9846643805503845,"""[0.97999036, 0.98756826]""",0.048671264201402664,0.001,0.9971891045570374,0.9846643805503845,0.9846643805503845,0.9770699739456177,"""[0.96948063, 0.9816364]""",0.07586187869310379,0.9935604929924011,0.9770699739456177,0.9770699739456177
8,0.9858333468437195,"""[0.9815133, 0.98851675]""",0.04404290392994881,0.001,0.9977550506591797,0.9858333468437195,0.9858333468437195,0.9776247143745422,"""[0.9700532, 0.9821403]""",0.07698076218366623,0.9930495023727417,0.9776247143745422,0.9776247143745422
9,0.9866030216217041,"""[0.9825168, 0.98914105]""",0.04069552570581436,0.001,0.9980737566947937,0.9866030216217041,0.9866030216217041,0.9777634143829346,"""[0.970608, 0.98211694]""",0.07831938564777374,0.9931586980819702,0.9777634143829346,0.9777634143829346
10,0.9874305725097656,"""[0.98359275, 0.9898134]""",0.0380149707198143,0.001,0.9982978701591492,0.9874305725097656,0.9874305725097656,0.9782719016075134,"""[0.9711868, 0.9825603]""",0.0847066342830658,0.9916473627090454,0.9782719016075134,0.9782719016075134
11,0.9873263835906982,"""[0.9834727, 0.9897227]""",0.03719787299633026,0.001,0.9984330534934998,0.9873263835906982,0.9873263835906982,0.976376473903656,"""[0.96834934, 0.9811557]""",0.08283127844333649,0.9925370216369629,0.976376473903656,0.976376473903656
12,0.9891782402992249,"""[0.98588014, 0.9912273]""",0.032174382358789444,0.001,0.9987351894378662,0.9891782402992249,0.9891782402992249,0.9747121930122375,"""[0.9668866, 0.97954607]""",0.1001298800110817,0.9908269047737122,0.9747121930122375,0.9747121930122375
