epoch,accuracy,f1-score,loss,lr,prc,precision,recall,val_accuracy,val_f1-score,val_loss,val_prc,val_precision,val_recall
0,0.7752467393875122,"""[0.65611106, 0.8330755]""",0.4891565442085266,0.001,0.8718521595001221,0.7752467393875122,0.7752467393875122,0.9418889284133911,"""[0.9225938, 0.9534841]""",0.17834633588790894,0.9795879125595093,0.9418889284133911,0.9418889284133911
1,0.9510937333106995,"""[0.93656784, 0.96020645]""",0.14367449283599854,0.001,0.9846251606941223,0.9510937333106995,0.9510937333106995,0.9620451927185059,"""[0.95066404, 0.96915966]""",0.1103174015879631,0.9901096224784851,0.9620451927185059,0.9620451927185059
2,0.9647916555404663,"""[0.95409405, 0.97144574]""",0.10308840125799179,0.001,0.9914052486419678,0.9647916555404663,0.9647916555404663,0.9667144417762756,"""[0.95640063, 0.9730821]""",0.10058970749378204,0.991087794303894,0.9667144417762756,0.9667144417762756
3,0.971996545791626,"""[0.96346134, 0.97729933]""",0.08304282277822495,0.001,0.993995189666748,0.971996545791626,0.971996545791626,0.9698118567466736,"""[0.9597137, 0.97586226]""",0.09324554353952408,0.9919440746307373,0.9698118567466736,0.9698118567466736
4,0.9765219688415527,"""[0.9693717, 0.9809657]""",0.06952233612537384,0.001,0.9954586029052734,0.9765219688415527,0.9765219688415527,0.9738800525665283,"""[0.965689, 0.97891396]""",0.0842006653547287,0.9931918382644653,0.9738800525665283,0.9738800525665283
5,0.980167806148529,"""[0.974113, 0.9839272]""",0.059894584119319916,0.001,0.9963418245315552,0.980167806148529,0.980167806148529,0.9764689803123474,"""[0.9691159, 0.9809939]""",0.08107547461986542,0.9930030703544617,0.9764689803123474,0.9764689803123474
6,0.9820717573165894,"""[0.9766008, 0.9854692]""",0.05378153547644615,0.001,0.9970033168792725,0.9820717573165894,0.9820717573165894,0.9776247143745422,"""[0.97057396, 0.9819497]""",0.07442974299192429,0.9939842224121094,0.9776247143745422,0.9776247143745422
7,0.9846354126930237,"""[0.9799442, 0.98754805]""",0.04666629061102867,0.001,0.9975553750991821,0.9846354126930237,0.9846354126930237,0.9760991334915161,"""[0.96878964, 0.9806345]""",0.07818388193845749,0.9932194948196411,0.9760991334915161,0.9760991334915161
8,0.9857118129730225,"""[0.9813465, 0.98842144]""",0.04301830008625984,0.001,0.9978495836257935,0.9857118129730225,0.9857118129730225,0.9761915802955627,"""[0.9690113, 0.9806703]""",0.08567643165588379,0.992094099521637,0.9761915802955627,0.9761915802955627
9,0.9870312213897705,"""[0.9830527, 0.98949695]""",0.03878023102879524,0.001,0.9982460737228394,0.9870312213897705,0.9870312213897705,0.9775784611701965,"""[0.97050774, 0.98191446]""",0.07946864515542984,0.9927520155906677,0.9775784611701965,0.9775784611701965
10,0.9881191849708557,"""[0.9844769, 0.99037707]""",0.03517013415694237,0.001,0.9985011219978333,0.9881191849708557,0.9881191849708557,0.9800748825073242,"""[0.97389305, 0.9838897]""",0.07757098972797394,0.9929643869400024,0.9800748825073242,0.9800748825073242
11,0.9889178276062012,"""[0.9855241, 0.9910225]""",0.032309915870428085,0.001,0.998727560043335,0.9889178276062012,0.9889178276062012,0.9775784611701965,"""[0.9705722, 0.98189014]""",0.09068934619426727,0.9908983707427979,0.9775784611701965,0.9775784611701965
12,0.988912045955658,"""[0.9855112, 0.99101985]""",0.03174414485692978,0.001,0.9988231658935547,0.988912045955658,0.988912045955658,0.9801673293113708,"""[0.97404563, 0.9839524]""",0.0965908020734787,0.9908319711685181,0.9801673293113708,0.9801673293113708
