epoch,accuracy,f1-score,loss,lr,prc,precision,recall,val_accuracy,val_f1-score,val_loss,val_prc,val_precision,val_recall
0,0.7757970690727234,"""[0.6449584, 0.8361708]""",0.48733553290367126,0.001,0.8724713325500488,0.7757970690727234,0.7757970690727234,0.9288058876991272,"""[0.9114128, 0.94049]""",0.19506974518299103,0.9731466174125671,0.9288058876991272,0.9288058876991272
1,0.953454852104187,"""[0.939402, 0.962217]""",0.135841965675354,0.001,0.9861352443695068,0.953454852104187,0.953454852104187,0.956451416015625,"""[0.9444903, 0.9641716]""",0.129420205950737,0.9864241480827332,0.956451416015625,0.956451416015625
2,0.9679803252220154,"""[0.9581414, 0.97407424]""",0.09469291567802429,0.001,0.9926705956459045,0.9679803252220154,0.9679803252220154,0.9644491672515869,"""[0.9534926, 0.9712275]""",0.10956890136003494,0.9901463389396667,0.9644491672515869,0.9644491672515869
3,0.9742419123649597,"""[0.96632546, 0.9791447]""",0.07700834423303604,0.001,0.9948290586471558,0.9742419123649597,0.9742419123649597,0.9696269035339355,"""[0.961039, 0.9751127]""",0.11432331800460815,0.9879965782165527,0.9696269035339355,0.9696269035339355
4,0.9795023202896118,"""[0.9731752, 0.9834144]""",0.0627913698554039,0.001,0.9961035847663879,0.9795023202896118,0.9795023202896118,0.9686098694801331,"""[0.95990556, 0.97420895]""",0.1036318764090538,0.9897365570068359,0.9686098694801331,0.9686098694801331
5,0.9828877449035645,"""[0.9776034, 0.9861545]""",0.05260290205478668,0.001,0.9969521760940552,0.9828877449035645,0.9828877449035645,0.9696269035339355,"""[0.9603237, 0.975396]""",0.1125624030828476,0.9883248209953308,0.9696269035339355,0.9696269035339355
6,0.9839988350868225,"""[0.97903985, 0.98706025]""",0.049283694475889206,0.001,0.9973710179328918,0.9839988350868225,0.9839988350868225,0.9749895930290222,"""[0.9674273, 0.9797021]""",0.09511556476354599,0.9905952215194702,0.9749895930290222,0.9749895930290222
7,0.9862152934074402,"""[0.9819338, 0.9888563]""",0.04209434241056442,0.001,0.9978870749473572,0.9862152934074402,0.9862152934074402,0.9737876057624817,"""[0.9657132, 0.97878397]""",0.1025247871875763,0.9898040890693665,0.9737876057624817,0.9737876057624817
8,0.986990749835968,"""[0.982948, 0.98948395]""",0.03969263285398483,0.001,0.9981364011764526,0.986990749835968,0.986990749835968,0.9767463207244873,"""[0.9699791, 0.9810239]""",0.10361074656248093,0.9892752170562744,0.9767463207244873,0.9767463207244873
9,0.9884085655212402,"""[0.98481, 0.9906287]""",0.03559236600995064,0.001,0.9983874559402466,0.9884085655212402,0.9884085655212402,0.973926305770874,"""[0.9659831, 0.9788622]""",0.10615962743759155,0.989366888999939,0.973926305770874,0.973926305770874
10,0.9892534613609314,"""[0.9859065, 0.9913158]""",0.03232982009649277,0.001,0.9986714124679565,0.9892534613609314,0.9892534613609314,0.9776247143745422,"""[0.97119045, 0.9817096]""",0.10427352041006088,0.9890485405921936,0.9776247143745422,0.9776247143745422
11,0.9893171191215515,"""[0.9859933, 0.991366]""",0.030937829986214638,0.001,0.9987674355506897,0.9893171191215515,0.9893171191215515,0.9770699739456177,"""[0.9702424, 0.9813492]""",0.12431436032056808,0.9875151515007019,0.9770699739456177,0.9770699739456177
12,0.9901388883590698,"""[0.9870708, 0.99203014]""",0.02846614085137844,0.001,0.998984694480896,0.9901388883590698,0.9901388883590698,0.9772548675537109,"""[0.9704611, 0.9815079]""",0.10687914490699768,0.9901183843612671,0.9772548675537109,0.9772548675537109
