epoch,accuracy,auc,f1-score,loss,lr,mcc,prc,precision,recall,val_accuracy,val_auc,val_f1-score,val_loss,val_mcc,val_prc,val_precision,val_recall
0,0.8603560328483582,0.948153555393219,"""[0.79285693, 0.89467657]""",0.34437328577041626,0.001,0.7037386894226074,0.9490007162094116,0.8603560328483582,0.8603560328483582,0.9487771987915039,0.9834819436073303,"""[0.9333093, 0.9584209]""",0.1589083969593048,0.8918728232383728,0.9828200936317444,0.9487771987915039,0.9487771987915039
1,0.9561155438423157,0.9870144724845886,"""[0.94207114, 0.9646789]""",0.1344020813703537,0.001,0.9067626595497131,0.9865140914916992,0.9561155438423157,0.9561155438423157,0.9567287564277649,0.988783061504364,"""[0.944694, 0.964462]""",0.12855097651481628,0.9092340469360352,0.9879394173622131,0.9567287564277649,0.9567287564277649
2,0.9650176167488098,0.9922446012496948,"""[0.9537938, 0.9718543]""",0.10191211849451065,0.001,0.9256727695465088,0.9915407299995422,0.9650176167488098,0.9650176167488098,0.968193769454956,0.992863118648529,"""[0.9592127, 0.97393346]""",0.10244933515787125,0.9331725835800171,0.9919205904006958,0.968193769454956,0.968193769454956
3,0.9711261987686157,0.9943417310714722,"""[0.9619782, 0.97672594]""",0.08554880321025848,0.001,0.9387059807777405,0.9937734603881836,0.9711261987686157,0.9711261987686157,0.966621994972229,0.9912773370742798,"""[0.9580818, 0.9722713]""",0.10655439645051956,0.9311903119087219,0.9898708462715149,0.966621994972229,0.966621994972229
4,0.9754729270935059,0.9952259659767151,"""[0.96768576, 0.9802357]""",0.07557681202888489,0.001,0.94792240858078,0.9946118593215942,0.9754729270935059,0.9754729270935059,0.9736489057540894,0.993870198726654,"""[0.9658887, 0.97853273]""",0.08743666857481003,0.9444524049758911,0.9928966164588928,0.9736489057540894,0.9736489057540894
5,0.9800862669944763,0.9963274002075195,"""[0.9737982, 0.9839403]""",0.06321407854557037,0.001,0.9577386379241943,0.9957951903343201,0.9800862669944763,0.9800862669944763,0.976376473903656,0.9943826794624329,"""[0.9695271, 0.9807119]""",0.07907377928495407,0.9502413868904114,0.9934678077697754,0.976376473903656,0.976376473903656
6,0.9823001623153687,0.9968627095222473,"""[0.97672856, 0.98571914]""",0.057478759437799454,0.001,0.962448000907898,0.9963939785957336,0.9823001623153687,0.9823001623153687,0.9760991334915161,0.994204044342041,"""[0.9694895, 0.9803549]""",0.08303908258676529,0.949951708316803,0.9931515455245972,0.9760991334915161,0.9760991334915161
7,0.9834129214286804,0.9970636367797852,"""[0.97814304, 0.9866353]""",0.05398651212453842,0.001,0.9647809863090515,0.9965969920158386,0.9834129214286804,0.9834129214286804,0.9757754802703857,0.9935277700424194,"""[0.96860397, 0.9802799]""",0.08904978632926941,0.9489320516586304,0.9921351671218872,0.9757754802703857,0.9757754802703857
8,0.9857891201972961,0.9974256157875061,"""[0.9812784, 0.9885483]""",0.04727677255868912,0.001,0.9698294997215271,0.9969428777694702,0.9857891201972961,0.9857891201972961,0.9762840270996094,0.9940479397773743,"""[0.96932006, 0.9806714]""",0.08390188962221146,0.9500147104263306,0.9928244948387146,0.9762840270996094,0.9762840270996094
9,0.9891390204429626,0.9982646107673645,"""[0.98568135, 0.9912516]""",0.03616378456354141,0.00040000002,0.9769379496574402,0.9979134798049927,0.9891390204429626,0.9891390204429626,0.9836345911026001,0.9944823384284973,"""[0.978916, 0.9866274]""",0.07177286595106125,0.9655435085296631,0.9930765628814697,0.9836345911026001,0.9836345911026001
10,0.9916658997535706,0.9986792802810669,"""[0.98903006, 0.9932804]""",0.02862396650016308,0.00040000002,0.982312798500061,0.9983876347541809,0.9916658997535706,0.9916658997535706,0.9833109974861145,0.9940320253372192,"""[0.9786074, 0.986319]""",0.07431704550981522,0.9649583101272583,0.9924531579017639,0.9833109974861145,0.9833109974861145
11,0.9921295642852783,0.9988008141517639,"""[0.98962265, 0.9936609]""",0.02595709264278412,0.00040000002,0.9832859635353088,0.9985175728797913,0.9921295642852783,0.9921295642852783,0.9840506911277771,0.9941320419311523,"""[0.97947526, 0.986958]""",0.07838910818099976,0.9664346575737,0.9925643801689148,0.9840506911277771,0.9840506911277771
12,0.9927902221679688,0.9988405108451843,"""[0.99051714, 0.9941843]""",0.0244755819439888,0.00040000002,0.984703004360199,0.9985554218292236,0.9927902221679688,0.9927902221679688,0.9828948974609375,0.9938755631446838,"""[0.9780154, 0.9860018]""",0.08566716313362122,0.9640241265296936,0.9922165274620056,0.9828948974609375,0.9828948974609375
13,0.9936132431030273,0.9990679025650024,"""[0.9915892, 0.994852]""",0.02121860161423683,0.00016000001,0.986442506313324,0.9988332390785217,0.9936132431030273,0.9936132431030273,0.9834034442901611,0.9935398101806641,"""[0.9787335, 0.9863917]""",0.08808156847953796,0.9651618003845215,0.9917401671409607,0.9834034442901611,0.9834034442901611
14,0.9937059283256531,0.9991411566734314,"""[0.9917086, 0.9949279]""",0.020275741815567017,0.00016000001,0.9866372346878052,0.9989251494407654,0.9937059283256531,0.9937059283256531,0.9838657379150391,0.9935104846954346,"""[0.97931606, 0.98677474]""",0.08798421919345856,0.9661213159561157,0.9917052984237671,0.9838657379150391,0.9838657379150391
