epoch,accuracy,auc,f1-score,loss,lr,mcc,prc,precision,recall,val_accuracy,val_auc,val_f1-score,val_loss,val_mcc,val_prc,val_precision,val_recall
0,0.8473610877990723,0.9349939227104187,"""[0.7827455, 0.88235193]""",0.32314032316207886,0.001,0.6724277138710022,0.9364005923271179,0.8473610877990723,0.8473610877990723,0.9494706392288208,0.9857558608055115,"""[0.93424773, 0.9589699]""",0.14525632560253143,0.8932711482048035,0.9850320816040039,0.9494706392288208,0.9494706392288208
1,0.9592650532722473,0.9896584749221802,"""[0.9469055, 0.9669569]""",0.12108872085809708,0.001,0.9138883948326111,0.9888486862182617,0.9592650532722473,0.9592650532722473,0.951181173324585,0.9861183166503906,"""[0.93366, 0.96138096]""",0.14654716849327087,0.8966985940933228,0.984786868095398,0.951181173324585,0.951181173324585
2,0.9695775508880615,0.9938198924064636,"""[0.96023476, 0.97536534]""",0.09080729633569717,0.001,0.9356075525283813,0.9932264089584351,0.9695775508880615,0.9695775508880615,0.9679164290428162,0.9915461540222168,"""[0.95812213, 0.9739978]""",0.10445093363523483,0.9321354031562805,0.9901027083396912,0.9679164290428162,0.9679164290428162
3,0.9756828546524048,0.995570719242096,"""[0.9681951, 0.9803168]""",0.07391148060560226,0.001,0.9485140442848206,0.9950690865516663,0.9756828546524048,0.9756828546524048,0.9727243185043335,0.9925330281257629,"""[0.9646156, 0.97780955]""",0.09370584785938263,0.9425432682037354,0.991126298904419,0.9727243185043335,0.9727243185043335
4,0.979178249835968,0.9965042471885681,"""[0.9727561, 0.98315024]""",0.06386011838912964,0.001,0.9559077620506287,0.9960771799087524,0.979178249835968,0.979178249835968,0.9735564589500427,0.9929007887840271,"""[0.96556294, 0.9785382]""",0.08992009609937668,0.9441438317298889,0.9914875626564026,0.9735564589500427,0.9735564589500427
5,0.9819791913032532,0.9973191022872925,"""[0.9764159, 0.9854188]""",0.05466746538877487,0.001,0.9618350267410278,0.9969584941864014,0.9819791913032532,0.9819791913032532,0.9723082780838013,0.992438554763794,"""[0.9634912, 0.97769505]""",0.09308893978595734,0.9412397146224976,0.9908843040466309,0.9723082780838013,0.9723082780838013
6,0.983744204044342,0.9977864623069763,"""[0.9787289, 0.9868458]""",0.04881246015429497,0.001,0.9655759334564209,0.9974905252456665,0.983744204044342,0.983744204044342,0.9759604334831238,0.9934715628623962,"""[0.9685421, 0.9805476]""",0.08787139505147934,0.9490908980369568,0.9920650124549866,0.9759604334831238,0.9759604334831238
7,0.985364556312561,0.9981132745742798,"""[0.9808358, 0.9881621]""",0.043982528150081635,0.001,0.9689984321594238,0.9978390336036682,0.985364556312561,0.985364556312561,0.9738338589668274,0.9920378923416138,"""[0.96574265, 0.9788332]""",0.09824013710021973,0.9445761442184448,0.9901522994041443,0.9738338589668274,0.9738338589668274
8,0.986209511756897,0.9984277486801147,"""[0.9819408, 0.988846]""",0.04063815250992775,0.001,0.9707868099212646,0.9982085824012756,0.986209511756897,0.986209511756897,0.9777171611785889,0.9925415515899658,"""[0.9707666, 0.9819975]""",0.09145160019397736,0.9527671933174133,0.9906225800514221,0.9777171611785889,0.9777171611785889
9,0.9870833158493042,0.9985665678977966,"""[0.98308855, 0.9895514]""",0.0376049242913723,0.001,0.9726402759552002,0.9983461499214172,0.9870833158493042,0.9870833158493042,0.9771161675453186,0.9919679760932922,"""[0.97006714, 0.98147804]""",0.09989643096923828,0.9515476822853088,0.9899041652679443,0.9771161675453186,0.9771161675453186
10,0.9922395944595337,0.9994546175003052,"""[0.98983973, 0.9937224]""",0.02255927585065365,0.00040000002,0.9835624098777771,0.9993741512298584,0.9922395944595337,0.9922395944595337,0.9811844229698181,0.993192195892334,"""[0.9754093, 0.98476285]""",0.09183330833911896,0.9601786136627197,0.9913622140884399,0.9811844229698181,0.9811844229698181
11,0.9938020706176758,0.999646782875061,"""[0.9918869, 0.9949857]""",0.017361948266625404,0.00040000002,0.9868727326393127,0.9995901584625244,0.9938020706176758,0.9938020706176758,0.9803060293197632,0.9925628304481506,"""[0.97433114, 0.9840246]""",0.10217196494340897,0.9583871960639954,0.9905168414115906,0.9803060293197632,0.9803060293197632
