epoch,accuracy,auc,f1-score,loss,lr,mcc,prc,precision,recall,val_accuracy,val_auc,val_f1-score,val_loss,val_mcc,val_prc,val_precision,val_recall
0,0.8419644832611084,0.9336362481117249,"""[0.7707265, 0.87942773]""",0.35506585240364075,0.001,0.6604765057563782,0.9353536367416382,0.8419644832611084,0.8419644832611084,0.9399935007095337,0.9811458587646484,"""[0.9209212, 0.95165384]""",0.17183223366737366,0.8732174038887024,0.9799642562866211,0.9399935007095337,0.9399935007095337
1,0.9553877115249634,0.9880045652389526,"""[0.9415803, 0.9639161]""",0.13145309686660767,0.001,0.9055167436599731,0.987212598323822,0.9553877115249634,0.9553877115249634,0.9618602991104126,0.9898282289505005,"""[0.951244, 0.96867996]""",0.12042506039142609,0.9199991822242737,0.9886931777000427,0.9618602991104126,0.9618602991104126
2,0.9669386744499207,0.9925263524055481,"""[0.95658255, 0.9733059]""",0.10015405714511871,0.001,0.9298938512802124,0.9918792247772217,0.9669386744499207,0.9669386744499207,0.9641255736351013,0.9910510182380676,"""[0.9547574, 0.9702796]""",0.1108533963561058,0.9256182909011841,0.9899093508720398,0.9641255736351013,0.9641255736351013
3,0.9735995531082153,0.9947158098220825,"""[0.96535957, 0.9786726]""",0.08110601454973221,0.001,0.944037675857544,0.9941264390945435,0.9735995531082153,0.9735995531082153,0.9687947630882263,0.9919760823249817,"""[0.96017927, 0.9743453]""",0.10299092531204224,0.934639573097229,0.9906079769134521,0.9687947630882263,0.9687947630882263
4,0.9769965410232544,0.9957462549209595,"""[0.9697974, 0.9814242]""",0.07069948315620422,0.001,0.9512271881103516,0.9952456951141357,0.9769965410232544,0.9769965410232544,0.9678239822387695,0.9926170706748962,"""[0.95783865, 0.9739852]""",0.09970229864120483,0.9321969151496887,0.9919260144233704,0.9678239822387695,0.9678239822387695
5,0.9803935289382935,0.9967260956764221,"""[0.9742448, 0.9841722]""",0.060317665338516235,0.001,0.9584192037582397,0.9962868690490723,0.9803935289382935,0.9803935289382935,0.9716148376464844,0.9933959245681763,"""[0.96347845, 0.9767863]""",0.0933215469121933,0.9402666687965393,0.9923188090324402,0.9716148376464844,0.9716148376464844
6,0.9817882180213928,0.9972473978996277,"""[0.9760672, 0.9853018]""",0.05554930493235588,0.001,0.9613702297210693,0.9968893527984619,0.9817882180213928,0.9817882180213928,0.9721233248710632,0.993060827255249,"""[0.96369874, 0.9773742]""",0.09664031863212585,0.9412245750427246,0.9918612241744995,0.9721233248710632,0.9721233248710632
7,0.9841782450675964,0.9977549314498901,"""[0.9792098, 0.98723]""",0.04873862490057945,0.001,0.9664410352706909,0.997440755367279,0.9841782450675964,0.9841782450675964,0.9710138440132141,0.9932380318641663,"""[0.96262294, 0.976328]""",0.09776429831981659,0.9389523863792419,0.9920898675918579,0.9710138440132141,0.9710138440132141
8,0.9848379492759705,0.9979910254478455,"""[0.98007125, 0.98776454]""",0.04548059031367302,0.001,0.9678362011909485,0.997705340385437,0.9848379492759705,0.9848379492759705,0.9727705717086792,0.9933656454086304,"""[0.9647284, 0.9778263]""",0.09542206674814224,0.9425946474075317,0.9922653436660767,0.9727705717086792,0.9727705717086792
9,0.9907291531562805,0.9990038275718689,"""[0.9878107, 0.9925201]""",0.02879299223423004,0.00040000002,0.9803308844566345,0.9988319873809814,0.9907291531562805,0.9907291531562805,0.9809532761573792,0.9940406680107117,"""[0.9754411, 0.9844446]""",0.08419877290725708,0.9598869681358337,0.9925481081008911,0.9809532761573792,0.9809532761573792
10,0.9924073815345764,0.9993730783462524,"""[0.99001604, 0.9938746]""",0.022633777931332588,0.00040000002,0.9838908314704895,0.9992664456367493,0.9924073815345764,0.9924073815345764,0.9815542697906494,0.9934289455413818,"""[0.9762853, 0.9849075]""",0.08927751332521439,0.9611977934837341,0.9916918277740479,0.9815542697906494,0.9815542697906494
11,0.9932233691215515,0.9994516968727112,"""[0.99109024, 0.9945324]""",0.020367581397294998,0.00040000002,0.985622763633728,0.9993519186973572,0.9932233691215515,0.9932233691215515,0.9812768697738647,0.9928297996520996,"""[0.9759258, 0.9846818]""",0.09606682509183884,0.9606119990348816,0.9909027814865112,0.9812768697738647,0.9812768697738647
12,0.9939756989479065,0.9995798468589783,"""[0.9920772, 0.99514025]""",0.017859462648630142,0.00040000002,0.9872176647186279,0.9995038509368896,0.9939756989479065,0.9939756989479065,0.9797050356864929,0.9917033314704895,"""[0.9739295, 0.9833857]""",0.11697503179311752,0.9573254585266113,0.9893988966941833,0.9797050356864929,0.9797050356864929
13,0.994768500328064,0.9997358918190002,"""[0.99312305, 0.9957786]""",0.014764774590730667,0.00016000001,0.9889017939567566,0.9996928572654724,0.994768500328064,0.994768500328064,0.9827100038528442,0.9918617606163025,"""[0.97774875, 0.98586226]""",0.11345137655735016,0.9636121988296509,0.989533543586731,0.9827100038528442,0.9827100038528442
14,0.9955671429634094,0.9998074769973755,"""[0.9941673, 0.9964251]""",0.012188326567411423,0.00016000001,0.9905925393104553,0.9997742772102356,0.9955671429634094,0.9955671429634094,0.9833109974861145,0.9918850660324097,"""[0.9785132, 0.9863573]""",0.11884400993585587,0.964870810508728,0.9895492792129517,0.9833109974861145,0.9833109974861145
