epoch,accuracy,auc,f1-score,loss,lr,mcc,prc,precision,recall,val_accuracy,val_auc,val_f1-score,val_loss,val_mcc,val_prc,val_precision,val_recall
0,0.8629436492919922,0.9459750056266785,"""[0.80809724, 0.893408]""",0.3247792720794678,0.001,0.7062948346138,0.9465255737304688,0.8629436492919922,0.8629436492919922,0.9526143074035645,0.987459659576416,"""[0.93907875, 0.96122855]""",0.13546335697174072,0.9011403322219849,0.9868692755699158,0.9526143074035645,0.9526143074035645
1,0.9575231671333313,0.9887763857841492,"""[0.9447355, 0.9655049]""",0.12648867070674896,0.001,0.9102659225463867,0.9879187345504761,0.9575231671333313,0.9575231671333313,0.9643104672431946,0.9909650087356567,"""[0.9537835, 0.97093153]""",0.1089247539639473,0.9251540899276733,0.990009069442749,0.9643104672431946,0.9643104672431946
2,0.9679397940635681,0.9931265115737915,"""[0.95816904, 0.9740104]""",0.09586194157600403,0.001,0.932187557220459,0.9924740195274353,0.9679397940635681,0.9679397940635681,0.9674078822135925,0.9927186965942383,"""[0.9563333, 0.9740015]""",0.09766584634780884,0.9306262731552124,0.9918288588523865,0.9674078822135925,0.9674078822135925
3,0.9739409685134888,0.9950326681137085,"""[0.9660507, 0.97885525]""",0.07906565815210342,0.001,0.9449185132980347,0.9945175647735596,0.9739409685134888,0.9739409685134888,0.9686098694801331,0.9931076765060425,"""[0.95821285, 0.974864]""",0.09474682062864304,0.933175265789032,0.9923394918441772,0.9686098694801331,0.9686098694801331
4,0.9776562452316284,0.9961463212966919,"""[0.9708474, 0.9818868]""",0.06761907041072845,0.001,0.9527403116226196,0.9956831932067871,0.9776562452316284,0.9776562452316284,0.9756830334663391,0.9936190843582153,"""[0.96830946, 0.980273]""",0.08255843818187714,0.9487758278846741,0.9923198819160461,0.9756830334663391,0.9756830334663391
5,0.980167806148529,0.9968171119689941,"""[0.9741079, 0.98392916]""",0.06015297397971153,0.001,0.9580397605895996,0.9964048862457275,0.980167806148529,0.980167806148529,0.9749895930290222,0.9946339130401611,"""[0.96702224, 0.97985625]""",0.07859600335359573,0.9468790888786316,0.9937857389450073,0.9749895930290222,0.9749895930290222
6,0.9816840291023254,0.9972091317176819,"""[0.9760762, 0.985162]""",0.0555972121655941,0.001,0.9612394571304321,0.9968355298042297,0.9816840291023254,0.9816840291023254,0.9736951589584351,0.9946357607841492,"""[0.965077, 0.9789017]""",0.08042782545089722,0.9440268278121948,0.9939340353012085,0.9736951589584351,0.9736951589584351
7,0.9840567111968994,0.9978004097938538,"""[0.97918856, 0.9870791]""",0.04832031950354576,0.001,0.9662704467773438,0.9974939823150635,0.9840567111968994,0.9840567111968994,0.9772548675537109,0.994532585144043,"""[0.9701963, 0.98161024]""",0.07626911997795105,0.9518672227859497,0.9934903383255005,0.9772548675537109,0.9772548675537109
8,0.9851099252700806,0.9981606602668762,"""[0.9805628, 0.9879329]""",0.04401946812868118,0.001,0.9684979319572449,0.9978982210159302,0.9851099252700806,0.9851099252700806,0.9779483079910278,0.9943971037864685,"""[0.9712945, 0.9820979]""",0.07515387237071991,0.9536240100860596,0.9930902719497681,0.9779483079910278,0.9779483079910278
9,0.9863426089286804,0.9983963966369629,"""[0.9821682, 0.98893327]""",0.04055503010749817,0.001,0.971103847026825,0.9981693029403687,0.9863426089286804,0.9863426089286804,0.9777171611785889,0.9945765733718872,"""[0.9707737, 0.98199475]""",0.07649649679660797,0.952813446521759,0.9934174418449402,0.9777171611785889,0.9777171611785889
10,0.9874536991119385,0.998572587966919,"""[0.9836006, 0.9898406]""",0.03771234303712845,0.001,0.973441481590271,0.9983602166175842,0.9874536991119385,0.9874536991119385,0.9775322675704956,0.9936608076095581,"""[0.9703406, 0.981917]""",0.08167081326246262,0.9522578120231628,0.9921725392341614,0.9775322675704956,0.9775322675704956
11,0.9883912205696106,0.9987282156944275,"""[0.9848283, 0.9905989]""",0.03436797112226486,0.001,0.9754273891448975,0.998521089553833,0.9883912205696106,0.9883912205696106,0.9786880016326904,0.9943424463272095,"""[0.97187483, 0.982844]""",0.07436749339103699,0.9547187089920044,0.993002712726593,0.9786880016326904,0.9786880016326904
12,0.9887847304344177,0.9988917112350464,"""[0.9853457, 0.99091643]""",0.032531123608350754,0.001,0.9762625694274902,0.9987213015556335,0.9887847304344177,0.9887847304344177,0.9762840270996094,0.9934453964233398,"""[0.9692354, 0.98070484]""",0.08667115122079849,0.9503062963485718,0.9919069409370422,0.9762840270996094,0.9762840270996094
13,0.9893692135810852,0.9989590048789978,"""[0.9861125, 0.9913886]""",0.03126075863838196,0.001,0.9775014519691467,0.9987948536872864,0.9893692135810852,0.9893692135810852,0.9799824357032776,0.9945858120918274,"""[0.9737719, 0.9838149]""",0.0758887529373169,0.9576489329338074,0.9932925701141357,0.9799824357032776,0.9799824357032776
14,0.9902256727218628,0.9990727305412292,"""[0.9872281, 0.9920837]""",0.029523266479372978,0.001,0.9793123006820679,0.9989319443702698,0.9902256727218628,0.9902256727218628,0.9809532761573792,0.9944927096366882,"""[0.97496057, 0.9846315]""",0.076937735080719,0.9596089124679565,0.9931182265281677,0.9809532761573792,0.9809532761573792
15,0.9935483932495117,0.9995371103286743,"""[0.99142855, 0.9948276]""",0.01849767006933689,0.00040000002,0.9862568378448486,0.9994469881057739,0.9935483932495117,0.9935483932495117,0.9819703102111816,0.9945050477981567,"""[0.9763608, 0.98542815]""",0.07743777334690094,0.9618397951126099,0.9930986166000366,0.9819703102111816,0.9819703102111816
