epoch,accuracy,auc,f1-score,loss,lr,mcc,prc,precision,recall,val_accuracy,val_auc,val_f1-score,val_loss,val_mcc,val_prc,val_precision,val_recall
0,0.8271468877792358,0.9200838208198547,"""[0.75233245, 0.86724806]""",0.38891977071762085,0.001,0.6286337971687317,0.9223511815071106,0.8271468877792358,0.8271468877792358,0.9433683156967163,0.9834217429161072,"""[0.9241439, 0.9548187]""",0.1585475504398346,0.8789939880371094,0.9827331304550171,0.9433683156967163,0.9433683156967163
1,0.9549131989479065,0.9874947667121887,"""[0.9414945, 0.96332496]""",0.13403940200805664,0.001,0.9048514366149902,0.986623227596283,0.9549131989479065,0.9549131989479065,0.9638019800186157,0.9904438853263855,"""[0.95196027, 0.97096026]""",0.1134200319647789,0.9229411482810974,0.9892885088920593,0.9638019800186157,0.9638019800186157
2,0.9663715362548828,0.9925041198730469,"""[0.956229, 0.9726979]""",0.10089524835348129,0.001,0.9289320707321167,0.9919028282165527,0.9663715362548828,0.9663715362548828,0.9658360481262207,0.9919622540473938,"""[0.955155, 0.9724079]""",0.10320527851581573,0.9278448224067688,0.9909219145774841,0.9658360481262207,0.9658360481262207
3,0.9726678133010864,0.9945330023765564,"""[0.9644114, 0.97781473]""",0.08331309258937836,0.001,0.9422305226325989,0.9939693212509155,0.9726678133010864,0.9726678133010864,0.9689797163009644,0.9925395846366882,"""[0.95891243, 0.9750844]""",0.09806381911039352,0.9340426921844482,0.9913008213043213,0.9689797163009644,0.9689797163009644
4,0.9769791960716248,0.9959898591041565,"""[0.97002083, 0.98131585]""",0.06970983743667603,0.001,0.9513388276100159,0.9955416321754456,0.9769791960716248,0.9769791960716248,0.9673616290092468,0.9923960566520691,"""[0.9558253, 0.9741203]""",0.09918287396430969,0.9302418231964111,0.9913828372955322,0.9673616290092468,0.9673616290092468
5,0.9808680415153503,0.9969250559806824,"""[0.97507316, 0.9844768]""",0.059129852801561356,0.001,0.9595521092414856,0.9965364933013916,0.9808680415153503,0.9808680415153503,0.9755443334579468,0.9943066835403442,"""[0.967396, 0.9804342]""",0.07845602184534073,0.9478305578231812,0.9932332038879395,0.9755443334579468,0.9755443334579468
6,0.9815972447395325,0.9974179863929749,"""[0.97602785, 0.9850666]""",0.05459493398666382,0.001,0.9610962867736816,0.9971060156822205,0.9815972447395325,0.9815972447395325,0.97193843126297,0.992544412612915,"""[0.96231455, 0.9776469]""",0.09395506232976913,0.9400352835655212,0.9909509420394897,0.97193843126297,0.97193843126297
7,0.983622670173645,0.9976896047592163,"""[0.9786557, 0.98671436]""",0.0496177040040493,0.001,0.9653707146644592,0.9973646402359009,0.983622670173645,0.983622670173645,0.9742961525917053,0.9945859313011169,"""[0.9654958, 0.9795196]""",0.08090387284755707,0.9450815916061401,0.9936501979827881,0.9742961525917053,0.9742961525917053
8,0.9851446747779846,0.9980711936950684,"""[0.9806432, 0.9879475]""",0.04445505142211914,0.001,0.9685918688774109,0.9977847337722778,0.9851446747779846,0.9851446747779846,0.9763302803039551,0.9942787885665894,"""[0.9682579, 0.9811293]""",0.08119947463274002,0.9494366645812988,0.9930981397628784,0.9763302803039551,0.9763302803039551
9,0.9908275604248047,0.9991485476493835,"""[0.98803896, 0.9925617]""",0.028004825115203857,0.00040000002,0.9806008338928223,0.9990229606628418,0.9908275604248047,0.9908275604248047,0.9801211357116699,0.9943761229515076,"""[0.9737131, 0.98401725]""",0.07756678014993668,0.957805335521698,0.9929379820823669,0.9801211357116699,0.9801211357116699
10,0.9924479126930237,0.9994726181030273,"""[0.9901576, 0.9938736]""",0.021939963102340698,0.00040000002,0.9840314388275146,0.9993942379951477,0.9924479126930237,0.9924479126930237,0.9808145761489868,0.9940282106399536,"""[0.97454774, 0.98460513]""",0.08028683066368103,0.9591780304908752,0.992431640625,0.9808145761489868,0.9808145761489868
11,0.993269681930542,0.9996190071105957,"""[0.99122125, 0.99454296]""",0.01892688311636448,0.00040000002,0.9857643246650696,0.9995643496513367,0.993269681930542,0.993269681930542,0.9806758761405945,0.9933844804763794,"""[0.974428, 0.9844701]""",0.09196315705776215,0.958959698677063,0.9915544986724854,0.9806758761405945,0.9806758761405945
12,0.9935300946235657,0.9996353387832642,"""[0.9915637, 0.99475306]""",0.01758916862308979,0.00040000002,0.9863166809082031,0.9995750188827515,0.9935300946235657,0.9935300946235657,0.981461763381958,0.9939992427825928,"""[0.9754244, 0.98511785]""",0.09008309245109558,0.960576593875885,0.9923672676086426,0.981461763381958,0.981461763381958
13,0.994768500328064,0.9997817873954773,"""[0.9931772, 0.995758]""",0.013655608519911766,0.00016000001,0.9889352321624756,0.9997465014457703,0.994768500328064,0.994768500328064,0.9830335974693298,0.9933313131332397,"""[0.97751087, 0.9863786]""",0.09669025242328644,0.9639255404472351,0.9914482831954956,0.9830335974693298,0.9830335974693298
14,0.9958043694496155,0.9998751878738403,"""[0.9945301, 0.9965972]""",0.01114204153418541,0.00016000001,0.9911273121833801,0.9998584985733032,0.9958043694496155,0.9958043694496155,0.9823401570320129,0.9925575852394104,"""[0.9766046, 0.9858172]""",0.10852494835853577,0.9624655246734619,0.9904263019561768,0.9823401570320129,0.9823401570320129
