epoch,accuracy,auc,f1-score,loss,lr,mcc,prc,precision,recall,val_accuracy,val_auc,val_f1-score,val_loss,val_mcc,val_prc,val_precision,val_recall
0,0.8365486860275269,0.928870677947998,"""[0.75993717, 0.8760917]""",0.36725571751594543,0.001,0.6490712761878967,0.931281328201294,0.8365486860275269,0.8365486860275269,0.9356017112731934,0.980349063873291,"""[0.9193259, 0.94641274]""",0.17474298179149628,0.8674280047416687,0.9798465371131897,0.9356017112731934,0.9356017112731934
1,0.9582638740539551,0.9891368746757507,"""[0.94542396, 0.96621287]""",0.1245928406715393,0.001,0.9116536378860474,0.9884094595909119,0.9582638740539551,0.9582638740539551,0.9586241841316223,0.9890472888946533,"""[0.9462688, 0.96635973]""",0.12422062456607819,0.9126295447349548,0.9878441691398621,0.9586241841316223,0.9586241841316223
2,0.9691608548164368,0.9935240149497986,"""[0.959623, 0.97505367]""",0.09279682487249374,0.001,0.9346837401390076,0.9928940534591675,0.9691608548164368,0.9691608548164368,0.9632009863853455,0.9909549355506897,"""[0.9529217, 0.9697959]""",0.10937153548002243,0.923037588596344,0.9896320700645447,0.9632009863853455,0.9632009863853455
3,0.9750462770462036,0.9954348802566528,"""[0.9672972, 0.97982645]""",0.07528973370790482,0.001,0.9471249580383301,0.9949229955673218,0.9750462770462036,0.9750462770462036,0.9656049013137817,0.9907276034355164,"""[0.9560958, 0.9717283]""",0.11354362964630127,0.928242564201355,0.9890799522399902,0.9656049013137817,0.9656049013137817
4,0.9789120554924011,0.9964065551757812,"""[0.9723529, 0.9829557]""",0.06462553888559341,0.001,0.9553104043006897,0.9959462881088257,0.9789120554924011,0.9789120554924011,0.9684711694717407,0.9921363592147827,"""[0.95914704, 0.97433]""",0.10002722591161728,0.9334893822669983,0.9906166195869446,0.9684711694717407,0.9684711694717407
5,0.9813773036003113,0.9971355199813843,"""[0.97558117, 0.98494965]""",0.05663261562585831,0.001,0.9605317711830139,0.9967578649520874,0.9813773036003113,0.9813773036003113,0.971060037612915,0.9931871891021729,"""[0.9621478, 0.9765754]""",0.09330432116985321,0.9387733936309814,0.9920244812965393,0.971060037612915,0.971060037612915
6,0.9837210774421692,0.997628390789032,"""[0.9786404, 0.9868491]""",0.05044715106487274,0.001,0.9654897451400757,0.9973157048225403,0.9837210774421692,0.9837210774421692,0.9752207398414612,0.9939298629760742,"""[0.96798086, 0.97979033]""",0.083932064473629,0.9478157162666321,0.9928349256515503,0.9752207398414612,0.9752207398414612
7,0.9851388931274414,0.9980012774467468,"""[0.9804999, 0.98799485]""",0.04544632136821747,0.001,0.9684948325157166,0.9977173209190369,0.9851388931274414,0.9851388931274414,0.9737876057624817,0.9931140542030334,"""[0.9658988, 0.9787122]""",0.0879489853978157,0.9446121454238892,0.991661787033081,0.9737876057624817,0.9737876057624817
8,0.9855613708496094,0.9981310367584229,"""[0.9810544, 0.98833597]""",0.04372166469693184,0.001,0.9693905115127563,0.9978553652763367,0.9855613708496094,0.9855613708496094,0.9762378334999084,0.9936837553977966,"""[0.9692363, 0.9806433]""",0.08600779622793198,0.9498997926712036,0.9922834634780884,0.9762378334999084,0.9762378334999084
9,0.9871875047683716,0.998504638671875,"""[0.9831858, 0.98965067]""",0.03836589306592941,0.001,0.9728363752365112,0.9982796907424927,0.9871875047683716,0.9871875047683716,0.9755905866622925,0.9927966594696045,"""[0.96877956, 0.979962]""",0.08852877467870712,0.9490760564804077,0.9912534952163696,0.9755905866622925,0.9755905866622925
10,0.9923148155212402,0.9993835091590881,"""[0.989922, 0.9937894]""",0.023181596770882607,0.00040000002,0.9837115406990051,0.9992889165878296,0.9923148155212402,0.9923148155212402,0.9809532761573792,0.993215799331665,"""[0.97527313, 0.98451126]""",0.08651450276374817,0.9597861766815186,0.9914014935493469,0.9809532761573792,0.9809532761573792
11,0.9936516284942627,0.9995885491371155,"""[0.9916699, 0.9948717]""",0.0182971078902483,0.00040000002,0.986541748046875,0.9995201230049133,0.9936516284942627,0.9936516284942627,0.9803060293197632,0.9924319386482239,"""[0.97444206, 0.9839813]""",0.10164932906627655,0.9584264755249023,0.9903228282928467,0.9803060293197632,0.9803060293197632
